,,,,,,,,
,Narex Boring and Facing Head Price List 2025,,,,,,,
,,,,,,,,
Vhu A (single head in pasteboard packing),,, List excluding GST ,,,,,
" 203,546    ",DDS32-100SCACL09-držák destiček 0930,, $391.00 ,,,,,
,,,,,,,,
 306 Insert holder (VBD) ,,,,,,,,
" 203,362    ",DDS16-050SCBCR06-držák destiček 0915,, $243.00 ,,,,,
" 203,379    ",DDS16-050SCBCL06-držák destiček 0917,, $243.00 ,,,,,
" 203,430    ",DDS25-080SCBCR09-držák destiček 0921,, $306.00 ,,,,,
" 203,454    ",DDS25-080SCBCL09-držák destiček 0923,, $306.00 ,,,,,
" 203,515    ",DDS32-100SCBCR09-držák destiček 0927,, $391.00 ,,,,,
" 203,539    ",DDS32-100SCBCL09-držák destiček 0929,, $391.00 ,,,,,
,,,,,,,,
 307 Holder bar ,,,,,,,,
" 203,690    ",VTS16-075-1.5-držák hlavice,, $261.00 ,,,,,
" 203,584    ",VTS25-085-1.5-držák hlavice,, $264.00 ,,,,,
" 203,577    ",VTS25-145-1.5-držák hlavice,, $264.00 ,,,,,
" 203,652    ",VTS32-135-1.5-držák hlavice,, $293.00 ,,,,,
" 203,645    ",VTS32-235-1.5-držák hlavice,, $293.00 ,,,,,
,,,,,,,,
 308 Back face insert holder ,,,,,,,,
" 203,393    ",VHS16-1.5STZCL11-hlavice zadní,, $434.00 ,,,,,
" 203,478    ",VHS25-1.5STZCL-hlavice zadní,, $453.00 ,,,,,
" 203,553    ",VHS32-1.5STZCL-hlavice zadní,, $444.00 ,,,,,
,,,,,,,,
 309 Recess/thread insert holder ,,,,,,,,
" 203,409    ",VHZ16-1.5ST--R16-hlavice závit-zápich,, $434.00 ,,,,,
" 203,485    ",VHZ25-1.5ST--R16-hlavice závit-zápich,, $453.00 ,,,,,
" 203,560    ",VHZ32-1.5ST--R16-hlavice závit-zápich,, $444.00 ,,,,,
,,,,,,,,
 Accessories of holders and bars ,,,,,,,,
Exchangeable inserts for boring tools ,,,,,,,,
" 203,829    ",VBD TCMT 110202E-UM8016,, $41.00 ,,,,,
" 203,836    ",VBD CCMT 060204E-UM8016,, $41.00 ,,,,,
" 203,843    ",VBD CCMT 09T304E-UM8016,, $48.00 ,,,,,
Sets of Boring Tools VDSK with exchangeable inserts for heads Vhu and Vh ,,,,,,,,
" 203,010    ",VDSK D 16 mm -D,," $1,502.00 ",,,,,
" 203,027    ",VDSK D 25 mm -D,," $1,933.00 ",,,,,
" 203,034    ",VDSK D 32 mm -D,," $2,375.00 ",,,,,
 Sets of Boring Tools VDSK without echangeable inserts ,,,,,,,,
" 203,072    ",VDSK D 16 mm -C bez destiček,," $1,281.00 ",,,,,
" 203,089    ",VDSK D 25 mm -C bez destiček,," $1,635.00 ",,,,,
" 203,096    ",VDSK D 32 mm -C bez destiček,," $2,071.00 ",,,,,
,,,,,,,,
Plastic box for Vhu,,,,,,,,
,Box  36 HEAVY 4002,, $400.00 ,,,,,
,Box  56 HEAVY 4012,, $611.00 ,,,,,
