sku,product_name,unit_price,unit_of_measure,stock_status,discount_1,discount_2,net_price,supplier_name
A00213/64,Jobber Drills,8.03,10,Stocked,0.68,0,2.57,Dormer
A00214.0,Jobber Drills,69.01,1,Stocked,0.68,0,22.08,Dormer
A00214.25,Jobber Drills,94.76,1,Stocked,0.68,0,30.32,Dormer
A00214.5,Jobber Drills,82.4,1,Stocked,0.68,0,26.37,Dormer
A00214.75,Jobber Drills,97.85,1,Stocked,0.68,0,31.31,Dormer
A00215.0,Jobber Drills,84.98,1,Stocked,0.68,0,27.19,Dormer
A00215.25,Jobber Drills,124.63,1,Stocked,0.68,0,39.88,Dormer
A00215.5,Jobber Drills,97.34,1,Stocked,0.68,0,31.15,Dormer
A00215.75,Jobber Drills,129.78,1,Stocked,0.68,0,41.53,Dormer
A00215/32,Jobber Drills,39.76,5,Non-stocked,0.68,0,12.72,Dormer
A00215/64,Jobber Drills,10.61,10,Stocked,0.68,0,3.40,Dormer
A00216.0,Jobber Drills,99.91,1,Stocked,0.68,0,31.97,Dormer
A00217/32,Jobber Drills,65.41,1,Non-stocked,0.68,0,20.93,Dormer
A00217/64,Jobber Drills,12.26,10,Stocked,0.68,0,3.92,Dormer
A00219/32,Jobber Drills,89.1,1,Stocked,0.68,0,28.51,Dormer
A00219/64,Jobber Drills,15.55,10,Non-stocked,0.68,0,4.98,Dormer
A0022.0,Jobber Drills,3.86,10,Stocked,0.68,0,1.24,Dormer
A0022.1,Jobber Drills,4.58,10,Stocked,0.68,0,1.47,Dormer
A0022.2,Jobber Drills,4.64,10,Stocked,0.68,0,1.48,Dormer
A0022.3,Jobber Drills,4.64,10,Stocked,0.68,0,1.48,Dormer
A0022.4,Jobber Drills,4.64,10,Stocked,0.68,0,1.48,Dormer
A0022.5,Jobber Drills,4.33,10,Stocked,0.68,0,1.39,Dormer
A0022.6,Jobber Drills,4.84,10,Stocked,0.68,0,1.55,Dormer
A0022.7,Jobber Drills,4.89,10,Stocked,0.68,0,1.56,Dormer
A0022.8,Jobber Drills,4.84,10,Stocked,0.68,0,1.55,Dormer
A0022.9,Jobber Drills,4.64,10,Stocked,0.68,0,1.48,Dormer
A00221/64,Jobber Drills,20.39,10,Stocked,0.68,0,6.52,Dormer
A00223/64,Jobber Drills,22.25,10,Stocked,0.68,0,7.12,Dormer
A00225/64,Jobber Drills,27.4,10,Stocked,0.68,0,8.77,Dormer
A00227/64,Jobber Drills,31.42,5,Stocked,0.68,0,10.05,Dormer
A00229/64,Jobber Drills,36.15,5,Stocked,0.68,0,11.57,Dormer
A0023.0,Jobber Drills,4.33,10,Stocked,0.68,0,1.39,Dormer
A0023.1,Jobber Drills,5.05,10,Stocked,0.68,0,1.62,Dormer
A0023.2,Jobber Drills,5.0,10,Stocked,0.68,0,1.60,Dormer
A0023.25,Jobber Drills,6.23,10,Stocked,0.68,0,1.99,Dormer
A0023.3,Jobber Drills,4.58,10,Stocked,0.68,0,1.47,Dormer
A0023.4,Jobber Drills,5.2,10,Stocked,0.68,0,1.66,Dormer
A0023.5,Jobber Drills,5.3,10,Stocked,0.68,0,1.70,Dormer
A0023.6,Jobber Drills,5.51,10,Stocked,0.68,0,1.76,Dormer
A0023.7,Jobber Drills,5.3,10,Stocked,0.68,0,1.70,Dormer
A0023.8,Jobber Drills,6.23,10,Stocked,0.68,0,1.99,Dormer
A0023.9,Jobber Drills,6.23,10,Stocked,0.68,0,1.99,Dormer
A0023/16,Jobber Drills,6.23,10,Stocked,0.68,0,1.99,Dormer
A0023/32,Jobber Drills,4.33,10,Stocked,0.68,0,1.39,Dormer
A0023/64,Jobber Drills,5.61,10,Stocked,0.68,0,1.80,Dormer
A0023/8,Jobber Drills,21.84,10,Stocked,0.68,0,6.99,Dormer
A00231/64,Jobber Drills,47.28,5,Non-stocked,0.68,0,15.13,Dormer
A00233/64,Jobber Drills,58.2,1,Non-stocked,0.68,0,18.62,Dormer
A0024.0,Jobber Drills,5.61,10,Stocked,0.68,0,1.80,Dormer
A0024.1,Jobber Drills,6.23,10,Stocked,0.68,0,1.99,Dormer
A0024.2,Jobber Drills,5.92,10,Stocked,0.68,0,1.89,Dormer
A0024.3,Jobber Drills,7.0,10,Stocked,0.68,0,2.24,Dormer
A0024.4,Jobber Drills,6.75,10,Stocked,0.68,0,2.16,Dormer
A0024.5,Jobber Drills,6.75,10,Stocked,0.68,0,2.16,Dormer
A0024.6,Jobber Drills,7.0,10,Stocked,0.68,0,2.24,Dormer
A0024.7,Jobber Drills,6.95,10,Stocked,0.68,0,2.22,Dormer
A0024.8,Jobber Drills,7.31,10,Stocked,0.68,0,2.34,Dormer
