product_name,supplier_name,sku,unit_price
50mm Digital Chamfer Gauge,Master 01 Apr,,
200mm Digital Caliper with Large Measuring Faces,Master 01 Apr,,
150mm Small Point Digital Caliper,Master 01 Apr,,
180mm Extension Base For Depth Caliper,Master 01 Apr,,
260mm Extension Base for Depth Caliper,Master 01 Apr,,
320mm Extension Base For Depth Caliper,Master 01 Apr,,
150mm Digital Depth Caliper,Master 01 Apr,,
200mm Digital Depth Caliper,Master 01 Apr,,
300mm Digital Depth Caliper,Master 01 Apr,,
500mm Digital Depth Caliper,Master 01 Apr,,
200mm Digital Pin Depth Caliper,Master 01 Apr,,
150mm Digital Hook Depth Caliper,Master 01 Apr,,
150mm Digital Double Hook Depth Caliper,Master 01 Apr,,
200mm Digital Double Hook Depth Caliper,Master 01 Apr,,
300mm Digital Double Hook Depth Caliper,Master 01 Apr,,
25mm Digital Depth Caliper,Master 01 Apr,,
30mm Vernier Depth Gauge,Master 01 Apr,,
150mm Vernier Depth Caliper,Master 01 Apr,,
200mm Vernier Depth Caliper,Master 01 Apr,,
300mm Vernier Depth Caliper,Master 01 Apr,,
500mm Vernier Depth Caliper,Master 01 Apr,,
150mm Vernier Depth Caliper,Master 01 Apr,,
200mm Vernier Depth Caliper,Master 01 Apr,,
300mm Vernier Depth Caliper,Master 01 Apr,,
75mm Depth Caliper Base Attachment,Master 01 Apr,,
100mm Depth Caliper Base Attachment,Master 01 Apr,,
 Scriber For Height Gauges,Master 01 Apr,,
 Scriber For Height Gauges,Master 01 Apr,,
 Scriber For Height Gauges,Master 01 Apr,,
FOR 181-040-11 Scriber For Height Gages,Master 01 Apr,,
 Scriber For Height Gauges,Master 01 Apr,,
 Scriber For Height Gauges,Master 01 Apr,,
Scriber for Height Gauge,Master 01 Apr,,
300mm Dual Scale Digital Output Height Gauge,Master 01 Apr,,
600mm Dual Scale Digital Output Height Gauge,Master 01 Apr,,
1000mm Digital Height Gage,Master 01 Apr,,
300mm Dual Scale Digital Output Height Gauge,Master 01 Apr,,
600mm Dual Scale Digital Output Height Gauge,Master 01 Apr,,
150mm Mini Digital Height Gage,Master 01 Apr,,
150mm Mini Digital Height Gage,Master 01 Apr,,
200mm Mini Digital Height Gage,Master 01 Apr,,
300mm Dual Scale Vernier Height Gauge,Master 01 Apr,,
600mm Dual Scale Vernier Height Gauge,Master 01 Apr,,
150mm Dual Scale Vernier Height Gauge,Master 01 Apr,,
150mm Digital Depth Caliper With Holes,Master 01 Apr,,
150mm Digital Depth Caliper With Round Depth Bar,Master 01 Apr,,
25mm Digital Depth Caliper With Round Depth Bar,Master 01 Apr,,
50mm Digital Depth Caliper With Round Depth Bar,Master 01 Apr,,
50mm Digital Keyway Gauge,Master 01 Apr,,
0-100mm Digital Keyway Gauge,Master 01 Apr,,
USB Digital Indicator Data Acquisition Cable,Master 01 Apr,,
USB Programmable Data Acquisition Cable,Master 01 Apr,,
100/200/300/400/500 Series Usb Output Interface,Master 01 Apr,,
100/200/300/400/500 Series Usb Output Interface,Master 01 Apr,,
12.7mm Digital Indicator,Master 01 Apr,,
12.7mm Digital Indicator,Master 01 Apr,,
25.4mm Digital Indicator,Master 01 Apr,,
250mm Waterproof Digital Indicator,Master 01 Apr,,
100mm Digital Indicator,Master 01 Apr,,
12.7mm Digital Bore Gauge Indicator,Master 01 Apr,,
12.7mm Digital Swivel Indicator,Master 01 Apr,,
25mm Digital Swivel Indicator,Master 01 Apr,,
50mm Digital Swivel Indicator,Master 01 Apr,,
25.4mm Digital Indicator with Bluetooth,Master 01 Apr,,
1mm Dial Indicator,Master 01 Apr,,
3mm Dial Indicator,Master 01 Apr,,
