sku,product_name,supplier_name,unit_price
5559 0.010,"Drill tap set, gun nose - blue ring, 7 drills & 7 taps (5559 0,010)",Guhring Aus Stock Reseller,
5639 30.000,"5639 30,000 Gun drill 20xD(EB80); Dia 30.00mm; Flute 750 ; Driver 32mm x 60L",Guhring Aus Stock Reseller,
5639 32.000,"5639 32,000 Gun drill 20xD(EB80); Dia 32.00mm; Flute 800 ; Driver 32mm x 60L",Guhring Aus Stock Reseller,
5641 30.000,Gun drill 40xD(EB80); Dia 30.00mm; Flute 1350 ; Driver 32mm x 60L,Guhring Aus Stock Reseller,
5641 32.000,Gun drill 40xD(EB80); Dia 32.00mm; Flute 1440 ; Driver 32mm x 60L,Guhring Aus Stock Reseller,
5642 12.950,Gun drill 80xD(EB80); Dia 12.95mm; Flute 1101 ; Driver 25mm x 70L,Guhring Aus Stock Reseller,
5642 16.950,Gun drill 80xD(EB80); Dia 16.95mm; Flute 1441 ; Driver 25mm x 70L,Guhring Aus Stock Reseller,
5642 17.950,Gun drill 80xD(EB80); Dia 17.95mm; Flute 1526 ; Driver 25mm x 70L,Guhring Aus Stock Reseller,
5642 18.950,Gun drill 80xD(EB80); Dia 18.95mm; Flute 1611 ; Driver 25mm x 70L,Guhring Aus Stock Reseller,
5642 19.950,Gun drill 80xD(EB80); Dia 19.95mm; Flute 1696 ; Driver 25mm x 70L,Guhring Aus Stock Reseller,
5642 21.950,Gun drill 80xD(EB80); Dia 21.95mm; Flute 1866 ; Driver 25mm x 70L,Guhring Aus Stock Reseller,
5642 24.950,Gun drill 80xD(EB80); Dia 24.95mm; Flute 2121 ; Driver 25mm x 70L,Guhring Aus Stock Reseller,
234 0.021,"Set of jobber drills TiN Tip Coated (1/16 - 1/2' - 29pce) (234 0,021)",Guhring Aus Stock Reseller,
8903 2.000,"SET Gun Taps M3 - M10 Drills. Ø 2,5-8,5 Counter Sink Ø 6,3 + 12,4(8903 2,000)",Guhring Aus Stock Reseller,
205 0.000,"Jobber drill set HSS, 1.0 - 10.0mm, 0.1mm incr., 91 pieces (205 0,000)",Guhring Aus Stock Reseller,
3472 0.001,"3-flute RF100 Aluminium carbide endmill set, 6,8,10,12 mm (3472 0,001)",Guhring Aus Stock Reseller,
3560 0.001,"3-flute carbide endmill set, 6,8,10,12 mm (3560 0,001)",Guhring Aus Stock Reseller,
3676 0.001,"2-flute carbide slot drill -Fire Coated -set, 6,8,10,12 mm (3676 0,001)",Guhring Aus Stock Reseller,
476F 10.400,"476F 10,400 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 12.400,"476F 12,400 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 16.500,"476F 16,500 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 20.500,"476F 20,500 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 25.000,"476F 25,000 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 30.000,"476F 30,000 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 31.000 ,"476F 31,000 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 6.300 ,"476F 6,300 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
476F 8.300,"476F 8,300 90° Countersink HSS Fire Coated",Guhring Aus Stock Reseller,
498 8.000,"498 8,000 Countersink set, 6.3 - 20.5 mm, 6 pieces, Fire Coated",Guhring Aus Stock Reseller,
557 0.002,"90 degree NC-spotting drill HSS set 6,8,10,12 -FIRE COATED",Guhring Aus Stock Reseller,
557F 10.000,"557F 10,000 - 90 degree NC-spotting drill HSS -FIRE Coated",Guhring Aus Stock Reseller,
557F 12.000,"557F 12,000 - 90 degree NC-spotting drill HSS -FIRE Coated",Guhring Aus Stock Reseller,
557F 16.000,"557F 16,000 - 90 degree NC-spotting drill HSS -FIRE Coated",Guhring Aus Stock Reseller,
557F 4.000,"557F 4,000 - 90 degree NC-spotting drill HSS -FIRE Coated",Guhring Aus Stock Reseller,
557F 6.000,"557F 6,000 - 90 degree NC-spotting drill HSS -FIRE Coated",Guhring Aus Stock Reseller,
557F 8.000,"557F 8,000 - 90 degree NC-spotting drill HSS -FIRE Coated",Guhring Aus Stock Reseller,
5735 1.000,"""""Milling cutter set; RF100 Solid carbide 6,8,10,12mm""(5735 1,000)",Guhring Aus Stock Reseller,
9651 0.005,"Set of HSS Tip Coated Drills 1-10mm,0.1mm incr.91 pieces (9651 0,005)",Guhring Aus Stock Reseller,
8926F 6.000,POWERLINE Spot Weld Drills HSCO - Fire Coated (8926F) 6 mm,Guhring Aus Stock Reseller,
